States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"58,871","1,442","56,990",439
FCT,"19,853",581,"19,106",166
Kaduna,"9,070",3,"9,002",65
Plateau,"9,061",2,"9,002",57
Rivers,"7,227",78,"7,048",101
Oyo,"6,856",1,"6,731",124
Edo,"4,907",2,"4,720",185
Ogun,"4,683",3,"4,630",50
Kano,"3,981",19,"3,852",110
Ondo,"3,283","1,139","2,080",64
Kwara,"3,123",1,"3,067",55
Delta,"2,627",812,"1,744",71
Osun,"2,578",6,"2,520",52
Enugu,"2,453",411,"2,013",29
Nasarawa,"2,383","1,997",373,13
Katsina,"2,103",17,"2,052",34
Gombe,"2,035",5,"1,986",44
Ebonyi,"2,031",34,"1,965",32
Anambra,"1,909",64,"1,826",19
Akwa Ibom,"1,899",27,"1,858",14
Abia,"1,693",2,"1,669",22
Imo,"1,657",28,"1,592",37
Bauchi,"1,549",14,"1,518",17
Borno,"1,337",99,"1,200",38
Benue,"1,188",575,591,22
Adamawa,"1,130",12,"1,086",32
Taraba,992,0,968,24
Niger,935,5,913,17
Bayelsa,888,7,855,26
Ekiti,874,1,862,11
Sokoto,775,0,747,28
Jigawa,531,3,512,16
Kebbi,450,42,392,16
Yobe,444,41,394,9
Cross River,394,0,376,18
Zamfara,244,3,233,8
Kogi,5,0,3,2
